time,cash_rate_target,inflation_rate,CPI,unemployment_rate,hourly_wage_growth,Bank_Prime_Loan_rate, labor_market_condition_index,USD-AUD_exchange_rate,deposit&foreign_related_institution,M2,Financial_Market: Share_Prices,composite_consumer_confidence_percentage,Trade_balance,Producer_Price_Index_by_Commodity,Business_Investment_And_Sentiment,employment-to-population_ratio,Interaction_exchange_rate_and_share_price,Export_Price_Index,coal_price,Oil_Price_in_Europe (in USD),Interation_exchange_rate_and_oil_price,lending_to_government _in_billion
1999-03-01,4.75,2.789154,164.8,14.4,5.7,7.75,1.21878,0.6308,315.3166,4455.6,51.76784,13,-17719,122.6,0.20335,64.2,32.65515347,105,26.1,12.88521739,20.42678724,25.2
1999-04-01,4.75,2.7963377,165.9,13.4,4.8,7.75,1.14998,0.642,313.3005,4501.4,52.76784,15,-17946,123.6,0.28897,64.2,33.87695328,101.3,26.1,15.50090909,24.14471821,25.1
1999-05-01,4.75,2.8490328,166,13.3,5.1,7.75,1.076,0.6628,310.5651,4464.1,53.76784,16,-20046,124.7,0.28936,64.3,35.63732435,102.1,26.1,15.67,23.64212432,25.4
1999-06-01,4.75,2.9371065,166,12.2,4.8,7.75,1.20106,0.6563,307.9128,4494.7,54.76784,11,-22892,125.2,0.20001,64.2,35.94413339,107,26.1,16.13181818,24.57994542,25.5
1999-07-01,4.75,3.0105503,166.7,11.4,5,8,1.14289,0.6562,311.6175,4519.6,55.76784,12,-23100,125.7,0.55432,64.2,36.59485661,102.3,26.1,19.03227273,29.00376825,23.8
1999-08-01,4.75,3.0557115,167.1,13,4.7,8.06,1.20645,0.6446,315.4745,4539.4,56.76784,9,-22626,126.9,0.29627,64.2,36.59254966,100,26.1,20.59772727,31.95427749,27.2
1999-09-01,4.75,3.0939121,167.8,13.4,5.3,8.25,1.29633,0.6495,319.1376,4553.1,57.76784,12,-22699,128,0.48504,64.2,37.52021208,98.2,26.1,23.14954545,35.64210232,29.4
1999-10-01,4.75,3.134861,168.1,11.8,5.3,8.25,1.26012,0.6509,335.9207,4574.8,58.76784,13,-23372,127.7,0.36702,64.3,38.25198706,101.8,25.6,22.17857143,34.07370015,28.9
1999-11-01,4.98,3.1492332,168.4,11.6,4.9,8.37,1.42573,0.6388,358.2681,4610.2,59.76784,13,-25126,128.3,0.21137,64.4,38.17969619,100.3,25.1,24.83727273,38.88114078,28.2
1999-12-01,5,3.2173645,168.8,13.1,4.9,8.5,1.43524,0.641,385.278,4664.5,60.76784,6,-25939,127.8,0.58161,64.4,38.95218544,98.1,25.1,25.69913043,40.09224717,30.5
2000-01-01,5,3.2743698,169.3,14.2,4.8,8.5,1.43487,0.656,382.6586,4672.6,61.76784,15,-27131,128.3,0.23418,64.6,40.51970304,97.8,25.1,25.63333333,39.07520325,30
2000-02-01,5.48,3.3488244,170,14.3,4.9,8.73,1.31135,0.6278,379.9584,4674.4,62.76784,2,-29794,129.8,0.35141,64.6,39.40564995,96.3,25.1,28.03047619,44.64873557,30.5
2000-03-01,5.5,3.3286618,171,12.9,4.9,8.83,1.41391,0.6094,381.1984,4736,63.76784,3,-30557,130.8,0.16951,64.6,38.8601217,95,25.1,27.49434783,45.11707881,28.8
2000-04-01,5.72,3.1782392,170.9,12.2,4.9,9,1.51724,0.596,379.9728,4806.1,64.76784,-2,-28598,130.7,0.54974,64.7,38.60163264,97,25.1,23.1535,38.84815436,26.7
2000-05-01,5.98,3.2724233,171.2,12.1,4.9,9.24,1.31935,0.5784,373.4121,4732.3,65.76784,-5,-29165,131.6,0.34308,64.4,38.04011866,94.8,25.6,27.80521739,48.07264418,25.5
2000-06-01,6,3.3262841,172.2,11,5.2,9.5,1.2773,0.5949,374.8878,4757.7,66.76784,-2,-30405,133.8,0,64.5,39.72018802,93.7,25.6,30.48318182,51.24085026,24.2
2000-07-01,6,3.0885155,172.7,10.1,5.2,9.5,1.43277,0.587,377.408,4773.9,67.76784,9,-31252,133.7,0.16572,64.2,39.77972208,93.9,25.6,28.89428571,49.22365539,25.2
2000-08-01,6.24,3.0654361,172.7,11.8,5.1,9.5,1.32771,0.5808,388.2955,4804.4,68.76784,14,-29931,132.9,0.10647,64.2,39.94036147,93.1,25.6,31.62913043,54.45786921,24.4
2000-09-01,6.25,2.9890166,173.6,11.3,5.3,9.5,1.36892,0.5521,387.6442,4840,69.76784,2,-33333,134.7,0.21439,64.2,38.51882446,97.2,27.15,33.36047619,60.42469877,23.8
2000-10-01,6.25,2.9611545,173.9,10.8,5.3,9.5,1.38004,0.528,378.8173,4853.9,70.76784,0,-33378,135.4,0.6338,64.2,37.36541952,94.7,27.15,31.30272727,59.28546832,24.2
2000-11-01,6.25,2.9558753,174.2,11.4,5.7,9.5,1.26948,0.5218,377.3438,4882,71.76784,-4,-32723,135,0.67239,64.3,37.44845891,94.4,27.15,32.88090909,63.01439075,24.7
2000-12-01,6.25,2.8761227,174.6,12.8,5.1,9.5,1.1203,0.5466,381.3845,4953,72.76784,-1,-33420,136.2,0.7593,64.4,39.77490134,95.9,30.75,25.47571429,46.60760023,21
2001-01-01,6.25,2.5332933,175.6,13.4,5.3,9.05,1.23362,0.5552,385.8055,4979,73.76784,5,-35202,140,0.99331,64.4,40.95590477,99.8,32.1,25.79,46.45172911,21
2001-02-01,5.85,2.6418159,176,14.8,5.4,8.5,1.04458,0.5338,382.9702,5008,74.76784,3,-29301,137.4,0.72815,64.3,39.91107299,99.5,32.1,27.8965,52.26020982,22.6
2001-03-01,5.55,2.4986875,176.1,14,5.1,8.32,1.04588,0.5031,383.5269,5098.3,75.76784,-11,-32812,135.9,0.88848,64.3,38.1188003,97.4,32.6,25.03454545,49.76057534,22.8
2001-04-01,5.06,2.586794,176.4,13.5,5.4,7.8,0.94262,0.5016,389.6577,5174.1,76.76784,-10,-30521,136.4,1.00211,64,38.50674854,97.2,33.5,26.01809524,51.87020582,22.6
2001-05-01,5,2.7619294,177.3,14,4.7,7.24,0.97281,0.5199,398.1988,5111.2,77.76784,-5,-27095,136.8,1.13733,63.8,40.43150002,99,33.8,28.43826087,54.69948234,21.7
2001-06-01,5,2.8453051,177.7,13.3,5.5,6.98,0.80801,0.518,403.3131,5160.6,78.76784,6,-29151,135.5,0.59582,63.7,40.80174112,104,33.9,28.00380952,54.06140835,23.3
2001-07-01,5,2.8069829,177.4,12.7,5.1,6.75,0.79993,0.5089,399.3578,5189.2,79.76784,8,-29902,133.4,0.84328,63.7,40.59385378,103.6,34,24.99136364,49.10859429,22.7
2001-08-01,5,2.6864373,177.4,12.7,5.1,6.67,0.79634,0.5246,396.1082,5225,80.76784,5,-28094,133.4,0.89001,63.2,42.37080886,106.8,33.8,25.73608696,49.05849591,21.6
2001-09-01,4.78,2.7490267,178.1,13.4,4.9,6.28,0.45587,0.5036,404.0751,5336.6,81.76784,8,-30217,133.3,1.49001,63.5,41.17828422,110.8,32.8,25.837,51.30460683,23.6
2001-10-01,4.52,2.5279263,177.6,13.3,5.1,5.53,0.20321,0.5042,420.1158,5321.7,82.76784,-1,-30588,130.3,1.0294,63.2,41.73154493,113.3,32.4,21.0326087,41.71481296,24.6
2001-11-01,4.5,2.3965374,177.5,12.6,4.9,5.1,0.10888,0.5165,435.9029,5384.7,83.76784,2,-30003,129.8,0.52103,63,43.26608936,110.6,29.4,19.10545455,36.99023145,23.1
2001-12-01,4.28,2.6393462,177.4,13.9,4.9,4.84,0.06627,0.5138,451.5146,5465,84.76784,7,-27488,128.1,0.47529,62.9,43.55371619,109.5,27.35,18.68142857,36.35933938,22.5
2002-01-01,4.25,2.7899369,177.7,15.2,4.8,4.75,0.14102,0.517,466.8886,5451,85.76784,16,-29678,128.5,0.76958,62.7,44.34197328,112.5,29.1,20.03304348,38.74863342,20.5
2002-02-01,4.25,2.7123769,178,14.8,4.4,4.75,0.05665,0.5128,470.0448,5470.4,86.76784,14,-32501,128.4,0.5819,63,44.49454835,111.6,29.85,20.545,40.06435257,22.5
2002-03-01,4.25,2.7046551,178.5,13.7,4.5,4.75,0.1031,0.5256,479.5001,5519.2,87.76784,18,-31161,129.8,0.72967,62.8,46.1307767,112.4,29.55,24.00095238,45.66391244,24
2002-04-01,4.25,2.9520356,179.3,12.6,4.1,4.75,0.13493,0.5352,494.0567,5533.4,88.76784,12,-33965,130.8,0.74397,62.7,47.50854797,117,28.84,25.94545455,48.47805408,22.7
2002-05-01,4.45,2.7927848,179.5,12.6,4.6,4.75,0.05676,0.5498,496.6024,5499.8,89.76784,10,-34026,130.8,0.48366,62.9,49.35435843,126.4,28.63,25.54956522,46.47065336,17.5
2002-06-01,4.72,2.7303686,179.6,12.5,3.9,4.75,0.03167,0.5682,496.1128,5537.8,90.76784,11,-34732,130.9,0.82079,62.7,51.57428669,127.2,26.65,24.368,42.88630764,16.4
2002-07-01,4.75,2.6473991,180,10.9,3.9,4.75,0.02121,0.5538,491.3308,5578.7,91.76784,9,-33913,131.2,1.18146,62.7,50.82102979,119.4,24.9,25.85782609,46.69163252,18.7
2002-08-01,4.75,2.3926105,180.5,12.6,4.1,4.75,0.02796,0.5413,483.6028,5621.7,92.76784,6,-36385,131.5,1.51099,62.7,50.21523179,115.1,24,26.62,49.17790504,18.7
2002-09-01,4.75,2.2175256,180.8,12.9,3.7,4.75,-0.0658,0.5465,480.6938,5646.5,93.76784,7,-36088,132.3,1.62344,63,51.24412456,124.5,24.45,28.37095238,51.91391104,18.2
2002-10-01,4.75,2.1200192,181.2,11.7,3.6,4.75,-0.10013,0.5502,468.8697,5685.3,94.76784,2,-35095,133.2,1.02016,62.7,52.14126557,124.8,26.25,27.5226087,50.02291657,23
2002-11-01,4.75,2.1935127,181.5,11.4,3.3,4.35,-0.15611,0.5613,458.3577,5757.5,95.76784,6,-39515,133.1,1.19382,62.5,53.75448859,122.9,26.25,24.25047619,43.20412648,19.2
2002-12-01,4.75,2.3274091,181.8,12.5,3.8,4.25,-0.1457,0.5624,437.6512,5804,96.76784,6,-43607,132.9,1.06187,62.4,54.42223322,126,26.25,28.31727273,50.35076943,19.7
2003-01-01,4.75,2.2439394,182.6,13.6,4.1,4.25,-0.17922,0.5829,434.4285,5793.5,97.76784,12,-41156,135.3,1.31971,62.5,56.98887394,133,26.67857143,30.80869565,52.85416993,20.5
2003-02-01,4.75,2.2455641,183.6,13.5,3.8,4.25,-0.34015,0.5956,447.8511,5820.8,98.76784,1,-40082,137.6,0.84856,62.5,58.8261255,133,26.94642857,32.6625,54.83965749,20.2
2003-03-01,4.75,2.0783864,183.9,13.3,3.3,4.25,-0.45766,0.6015,444.6196,5882.1,99.76784,0,-43806,141.2,0.91338,62.4,60.01035576,136.5,26.14285714,30.16809524,50.1547718,21.5
2003-04-01,4.75,2.1166901,183.2,12.5,3.4,4.25,-0.34259,0.61,422.8347,5938.5,100.76784,10,-42037,136.8,1.23504,62.4,61.4683824,142.9,25.125,25.035,41.04098361,19.4
2003-05-01,4.75,2.1170777,182.9,12.1,3.9,4.25,-0.41511,0.6468,417.8476,5938.2,101.76784,10,-41045,136.7,1.22738,62.3,65.82343891,144.7,24.96428571,25.71454545,39.75656378,20.3
2003-06-01,4.75,1.9788142,183.1,11.4,3.5,4.22,-0.34468,0.6652,423.3737,5992.4,102.76784,14,-39696,138,0.79575,62.3,68.36116717,141.4,25.82142857,27.56666667,41.44117058,22.9
2003-07-01,4.75,1.973451,183.7,11,3.7,4,-0.40389,0.6607,437.4153,6035.3,103.76784,16,-41321,137.7,0.27954,62.1,68.55941189,142.6,26.08928571,28.50391304,43.14199038,20.9
2003-08-01,4.75,2.2894709,184.5,11.2,3.4,4,-0.35747,0.6518,432.8227,6091.8,104.76784,13,-39892,138,0.75583,62.1,68.28767811,140.9,27.13392857,29.71809524,45.59388653,21.6
2003-09-01,4.75,2.3966164,185.1,11.7,3.4,4,-0.40448,0.6635,432.465,6063.9,105.76784,14,-41842,138.5,0.21362,62,70.17696184,134.8,28.60714286,27.04409091,40.75974515,18.9
2003-10-01,4.75,2.1063259,184.9,10.8,3.4,4,-0.3369,0.6948,429.5342,6048.3,106.76784,17,-41388,139.3,0.49495,62.1,74.18229523,137.8,29.46428571,29.43565217,42.36564792,18.4
2003-11-01,4.98,2.2911369,185,10.4,3.3,4,-0.22543,0.7158,436.2376,6077,107.76784,13,-39898,138.9,0.38347,62.3,77.14021987,139.5,32.04910714,28.9485,40.44216262,17.9
2003-12-01,5.23,2.3653793,185.5,12,3.3,4,-0.07292,0.7391,441.8691,6098.6,108.76784,11,-44080,139.5,0.26506,62.2,80.39031054,140.5,36.42857143,29.74347826,40.24283353,18
2004-01-01,5.25,2.3167501,186.3,13.1,3.4,4,-0.11333,0.7717,458.0725,6058.9,109.76784,20,-44645,141.4,0.37004,62.3,84.70784213,142.2,40.44642857,30.98181818,40.14749019,15
2004-02-01,5.25,2.2754574,186.7,12.8,3.4,4,-0.16222,0.777,477.2966,6089,110.76784,19,-44552,142.1,0.10392,62.3,86.06661168,147.6,44.73214286,30.795,39.63320463,15.6
2004-03-01,5.25,2.1716856,187.1,12.3,3.3,4,-0.0886,0.7496,478.8661,6168.5,111.76784,16,-46754,143.1,0.19348,62.2,83.78117286,153.7,52.43303571,33.42434783,44.58957821,16.5
2004-04-01,5.25,2.1480768,187.4,11.3,3.4,4,-0.00282,0.7443,481.204,6235.9,112.76784,17,-47283,144.8,0.15461,62.3,83.93310331,154.6,57.05357143,33.35772727,44.81758333,14.1
2004-05-01,5.25,2.4546894,188.2,10.9,3.5,4,-0.03038,0.7039,492.229,6249.6,113.76784,16,-47553,146.8,0.20906,62.3,80.08118258,148.7,60.46875,37.58904762,53.40111894,9.5
2004-06-01,5.25,2.5673682,188.9,10.8,3.1,4.01,0.0853,0.6937,508.3216,6272.8,114.76784,13,-54169,147.2,0.46998,62.4,79.61445061,148.3,63.80357143,35.43772727,51.08509049,10.1
2004-07-01,5.25,2.501857,189.1,10.2,3.7,4.25,0.13558,0.7161,539.715,6279.1,115.76784,19,-51606,147.4,0.11105,62.5,82.90135022,151.7,65.75892857,38.22681818,53.38195529,12.3
2004-08-01,5.25,2.4716518,189.2,11.5,3.6,4.43,0.13657,0.7111,522.4769,6300.9,116.76784,20,-53647,148,0.46438,62.4,83.03361102,150.4,63.48214286,42.22409091,59.37855563,12.6
2004-09-01,5.25,2.3558656,189.8,11.4,3.8,4.58,0.08035,0.7028,515.8302,6334,117.76784,20,-51686,147.7,0.2043,62.3,82.76723795,148,59.33035714,43.31590909,61.63333678,12.7
2004-10-01,5.25,2.3505515,190.8,10.5,3.6,4.75,0.09013,0.7337,522.3994,6355.6,118.76784,18,-55058,150,0.24946,62.3,87.13996421,150.9,60.66964286,49.73619048,67.78818383,12.2
2004-11-01,5.25,2.3070912,191.7,10.1,3.7,4.93,0.24117,0.7704,531.0763,6405.1,119.76784,20,-58967,151.4,0.20946,62.5,92.26914394,148.9,56.59821429,43.74863636,56.78691117,13.9
2004-12-01,5.25,2.3469422,191.7,11.5,3.3,5.15,0.22678,0.7675,542.6167,6447.4,120.76784,16,-54918,150.2,0.30923,62.4,92.6893172,153.6,55.98214286,39.96565217,52.07251098,14
2005-01-01,5.25,2.3687512,191.6,12.3,3.9,5.25,0.15587,0.7668,553.1231,6404.1,121.76784,28,-56189,150.9,0.26127,62.4,93.37157971,160.3,56.83392857,44.1747619,57.60923566,15.8
2005-02-01,5.25,2.3706533,192.4,11.9,3.4,5.49,0.29948,0.7812,544.2239,6405.7,122.76784,23,-58094,151.6,0.1106,62.4,95.90623661,164.5,53.46160714,45.721,58.5266257,18.8
2005-03-01,5.49,2.474904,193.1,11.6,3.4,5.58,0.2389,0.7848,543.7285,6464.9,123.76784,4,-53134,153.7,0.28851,62.4,97.13300083,167.1,54.5625,53.22913043,67.82508975,13.7
2005-04-01,5.5,2.5215946,193.7,11,3.7,5.75,0.29812,0.7738,563.2026,6508.3,124.76784,6,-57312,155,0.51126,62.7,96.54535459,178.5,54.91071429,52.60428571,67.98175978,11.2
2005-05-01,5.5,2.4035554,193.6,10.4,3.8,5.98,0.38779,0.7663,559.4928,6459.8,125.76784,14,-56040,154.3,0.46083,62.8,96.37589579,191.9,54.97767857,49.28545455,64.31613538,12.6
2005-06-01,5.5,2.2949612,193.7,9.8,3.9,6.01,0.30532,0.7667,575.3143,6511.8,126.76784,12,-58152,154.3,0.36583,62.7,97.19290293,193.5,54.64285714,54.83909091,71.52613918,13
2005-07-01,5.5,2.359812,194.9,9.6,4.2,6.25,0.31781,0.7524,565.2253,6530.7,127.76784,7,-58301,156.3,0.2365,62.8,96.13252282,195.4,54.53571429,57.62571429,76.58920027,13.6
2005-08-01,5.5,2.4709578,196.1,9.6,4,6.44,0.49397,0.7614,590.9807,6555,128.76784,16,-58745,157.6,0.34252,62.9,98.04383338,214.7,50.69074675,63.95043478,83.99058942,11
2005-09-01,5.5,2.3536565,198.8,10.8,4.1,6.59,0.36557,0.7651,593.5919,6587.7,129.76784,-1,-64882,162.2,0.28744,62.8,99.28537438,234.7,48.32142857,63.26136364,82.68378465,7.6
2005-10-01,5.5,2.5492617,199.1,10.2,4.1,6.75,0.34729,0.7535,593.8798,6615,130.76784,-2,-67265,166.2,0.27243,62.8,98.53356744,209.1,44.52806122,58.90857143,78.17992227,10
2005-11-01,5.5,2.5758744,198.1,9.3,4.4,7,0.44223,0.7353,590.1495,6655.7,131.76784,6,-63859,163.7,0.10356,62.7,96.88889275,222.1,40.64123377,55.44954545,75.41077853,9
2005-12-01,5.5,2.5702512,198.1,11,3.8,7.15,0.42653,0.7423,598.164,6708.9,132.76784,2,-64568,163,0.2798,62.8,98.55356763,221,41.68928571,57.15681818,76.99962034,9.9
2006-01-01,5.5,2.4488727,199.3,11.8,3.9,7.26,0.57297,0.7505,600.3558,6707.1,133.76784,12,-66967,164.3,0.39768,62.9,100.3927639,207.8,45.64285714,63.31181818,84.3595179,10.4
2006-02-01,5.5,2.5135642,199.4,12,3.6,7.5,0.57986,0.7418,610.162,6724.2,134.76784,10,-62308,161.8,0.05057,63,99.97078371,205.2,50.91964286,60.8055,81.9702076,9.8
2006-03-01,5.5,2.4741254,199.7,10.9,3.9,7.53,0.53208,0.7266,638.7708,6796.7,135.76784,12,-62397,162.2,0.13958,63.1,98.64891254,219.2,53.21273292,62.74695652,86.35694539,11.7
2006-04-01,5.5,2.6257421,200.7,10.8,4,7.75,0.64614,0.7369,646.0125,6860.1,136.76784,11,-62603,164.3,0.24338,63,100.7842213,219.9,56.4702381,70.34,95.45392862,11.5
2006-05-01,5.73,2.6635907,201.3,9.9,3.8,7.93,0.62427,0.7639,638.6805,6798.4,137.76784,4,-64818,165.8,0.36913,63.1,105.240853,220.7,56.72193878,70.51,92.30265742,9.9
2006-06-01,5.75,2.6658287,201.8,9.3,3.6,8.02,0.59798,0.7399,648.6711,6852.1,138.76784,4,-63800,166.1,0.11395,63.1,102.6743248,231.6,54.91071429,69.23272727,93.5703842,6.9
2006-07-01,5.75,2.721923,202.9,8.6,3.7,8.25,0.6241,0.7528,669.7412,6873.6,139.76784,7,-66909,166.8,0.17287,63,105.21723,228.7,56.95408163,74.04095238,98.35408127,7.3
2006-08-01,5.99,2.6194038,203.8,9.4,4.1,8.25,0.62144,0.7631,681.2707,6892.3,140.76784,-10,-68277,167.9,0.33504,63.1,107.4199387,236.6,55.63392857,73.50043478,96.31822144,8.1
2006-09-01,6,2.5174803,202.8,10.1,3.7,8.25,0.60795,0.7549,711.2818,6919.7,141.76784,1,-65095,165.4,0.34501,63.1,107.0205424,232.9,51.8877551,62.52714286,82.8283784,11
2006-10-01,6,2.485753,201.9,8.5,3.6,8.25,0.64163,0.7544,719.8032,6962.5,142.76784,5,-59538,162.2,0.14396,63.3,107.7040585,228.6,47.69074675,58.75818182,77.88730358,10.8
2006-11-01,6.19,2.3789791,202,9,4.5,8.25,0.67327,0.7728,748.1443,7024.9,143.76784,-5,-58939,164.6,0.2627,63.3,111.1037868,232.3,48.21428571,59.22272727,76.63396386,10.2
2006-12-01,6.25,2.3467956,203.1,10,3.9,8.25,0.57533,0.7858,754.6971,7100.1,144.76784,6,-61882,165.6,0.37621,63.4,113.7585687,232.7,54.51033835,62.26047619,79.23196257,11.3
2007-01-01,6.25,2.5293118,203.437,10.7,4.3,8.25,0.60862,0.7826,762.6693,7098.2,145.76784,14,-58014,164,0.22553,63.3,114.0779116,250.2,55.76298701,54.50304348,69.6435516,12.2
2007-02-01,6.25,2.5756304,204.226,10.8,4,8.25,0.58384,0.783,784.3951,7109.7,146.76784,14,-58479,166.8,0.25404,63.3,114.9192187,265,56.00625,57.9695,74.03512133,13.3
2007-03-01,6.25,2.4594415,205.288,9.9,4.5,8.25,0.65235,0.7932,815.3787,7207.6,147.76784,16,-62183,169.3,0.64355,63.3,117.2094507,280.4,56.92451299,62.35727273,78.61481685,13
2007-04-01,6.25,2.4786022,205.904,9.1,3.9,8.25,0.51714,0.8273,848.9791,7296.5,148.76784,15,-60494,171.4,0.58589,63,123.075634,281.5,58.05169173,67.69047619,81.82095514,13.8
2007-05-01,6.25,2.524481,206.755,8.9,3.9,8.25,0.57863,0.8254,880.5479,7241,149.76784,24,-59572,173.3,0.27342,63,123.6183751,311.5,58.45663265,67.71782609,82.04243529,13.6
2007-06-01,6.25,2.6718196,207.234,8.5,4.3,8.25,0.50283,0.8423,870.7234,7285.1,150.76784,22,-59997,173.8,0.41938,63,126.9917516,322.8,63.1505102,70.61904762,83.84073088,16.4
2007-07-01,6.25,2.6399293,207.603,8.1,4.4,8.25,0.47657,0.8677,874.9736,7287.9,151.76784,21,-60246,175.1,0.10333,62.9,131.6889548,334.5,72.79383117,76.13318182,87.74136432,16.8
2007-08-01,6.45,2.4898174,207.667,9.3,4.2,8.25,0.48169,0.8291,888.1456,7347.2,152.76784,11,-57214,172.4,0.93733,62.7,126.6598161,316.4,74.83441558,71.31304348,86.01259616,18.7
2007-09-01,6.5,2.4115217,208.547,9.2,4.4,8.03,0.39475,0.8461,929.108,7367.6,153.76784,16,-58158,173.5,0.50047,62.9,130.1029694,309.5,73.55357143,76.772,90.73631958,20.1
